	TASK-COUNT,	CXS,	RELEASE-LATENCY,	RELEASE,	SCHEDULE,	IPI-LATENCY,	TICK
	               2,	6.72978,	29.72057,	9.97856,	14.59542,	4.26253,	1.49529
	               4,	5.50067,	37.68176,	9.54492,	11.59883,	3.45727,	1.61648
	               6,	4.66079,	40.31913,	11.52656,	11.37082,	3.43112,	1.79663
	               8,	4.93466,	46.52168,	12.02322,	12.24551,	3.74841,	2.34484
	              10,	4.81129,	58.24624,	14.5638,	12.2199,	4.00761,	2.46287
	              12,	4.36334,	60.08797,	11.03959,	12.10727,	3.86881,	2.51114
	              14,	4.02139,	64.88597,	12.56629,	11.80076,	3.91408,	2.50994
	              16,	3.95173,	104.25153,	15.86581,	10.87721,	3.92055,	2.52389
	              18,	3.99141,	107.68098,	16.30253,	9.09979,	3.91341,	2.52411
	              20,	3.96936,	119.31053,	18.05341,	8.95408,	3.786,	2.46374
	              22,	4.35578,	123.65897,	19.04576,	8.5018,	3.82484,	2.50819
	              24,	3.94454,	123.59384,	19.86306,	8.36399,	3.81661,	2.49741
	              26,	4.20989,	120.2916,	19.31057,	8.15249,	3.85725,	2.52141
	              28,	3.95358,	132.32261,	20.64414,	7.9894,	3.81458,	2.531
	              30,	4.55631,	127.72966,	19.42275,	7.8974,	3.88953,	2.41506
	              32,	4.81653,	124.99143,	19.50481,	7.93598,	3.88261,	2.49613
	              34,	4.11259,	125.48338,	19.85067,	7.85752,	3.87543,	2.59852
	              36,	4.22586,	122.76203,	19.85806,	7.85018,	3.86897,	2.55698
	              38,	4.8531,	114.62965,	19.0961,	7.84962,	3.91242,	2.55948
	              40,	4.19305,	131.81302,	20.62952,	7.81311,	3.89458,	2.60879
